tanggal;tinggi_gelombang
18/12/2014;0,1492
19/12/2014;0,1400
20/12/2014;0,2604
21/12/2014;0,2292
22/12/2014;0,2958
23/12/2014;0,2000
24/12/2014;0,2000
25/12/2014;0,8000
26/12/2014;1,0000
27/12/2014;1,0000
28/12/2014;0,3000
29/12/2014;0,2750
30/12/2014;0,5075
31/12/2014;0,4867
01/01/2015;0,1333
02/01/2015;0,0333
03/01/2015;0,0333
04/01/2015;0,9167
05/01/2015;0,5875
06/01/2015;0,8667
07/01/2015;0,2183
08/01/2015;0,1729
09/01/2015;0,2133
10/01/2015;0,2508
11/01/2015;0,2117
12/01/2015;0,1133
13/01/2015;0,2133
14/01/2015;0,2133
15/01/2015;0,2792
16/01/2015;0,2042
17/01/2015;0,1729
18/01/2015;0,2133
19/01/2015;1,0000
20/01/2015;1,0000
21/01/2015;0,3075
22/01/2015;0,8375
23/01/2015;0,5600
24/01/2015;0,6292
25/01/2015;0,5625
26/01/2015;0,5875
27/01/2015;0,5292
28/01/2015;0,9625
29/01/2015;0,8350
30/01/2015;0,7079
31/01/2015;0,6346
01/02/2015;0,6429
02/02/2015;0,5846
03/02/2015;0,1508
04/02/2015;0,3629
05/02/2015;0,7517
06/02/2015;0,6167
07/02/2015;0,6775
08/02/2015;0,6025
09/02/2015;0,6121
10/02/2015;0,6046
11/02/2015;0,1746
12/02/2015;0,1746
13/02/2015;0,2125
14/02/2015;0,2125
15/02/2015;0,1900
16/02/2015;0,1900
17/02/2015;0,1508
18/02/2015;0,2225
19/02/2015;0,2367
20/02/2015;0,2525
21/02/2015;0,1746
22/02/2015;0,2125
23/02/2015;0,2125
24/02/2015;0,1900
25/02/2015;0,1900
26/02/2015;0,1508
27/02/2015;0,2225
28/02/2015;0,2367
01/03/2015;0,2525
02/03/2015;0,1508
03/03/2015;0,2225
04/03/2015;0,2367
05/03/2015;0,2525
06/03/2015;0,2346
07/03/2015;0,1900
08/03/2015;0,2771
09/03/2015;0,2187
10/03/2015;0,2330
11/03/2015;0,2330
12/03/2015;0,1918
13/03/2015;0,1746
14/03/2015;0,2125
15/03/2015;0,2125
16/03/2015;0,1900
17/03/2015;0,1900
18/03/2015;0,1508
19/03/2015;0,2225
20/03/2015;0,2367
21/03/2015;0,2525
22/03/2015;0,2067
23/03/2015;0,1038
24/03/2015;0,1867
25/03/2015;0,2533
26/03/2015;0,1746
27/03/2015;0,2125
28/03/2015;0,2125
29/03/2015;0,1900
30/03/2015;0,2533
31/03/2015;0,1798
01/04/2015;0,1038
02/04/2015;0,1867
03/04/2015;0,2533
04/04/2015;0,1746
05/04/2015;0,2125
06/04/2015;0,2125
07/04/2015;0,1900
08/04/2015;0,1900
09/04/2015;0,2125
10/04/2015;0,1900
11/04/2015;0,1900
12/04/2015;0,1508
13/04/2015;0,2225
14/04/2015;0,2367
15/04/2015;0,2525
16/04/2015;0,2067
17/04/2015;0,1038
18/04/2015;0,1867
19/04/2015;0,2533
20/04/2015;0,1746
21/04/2015;0,2125
22/04/2015;0,2125
23/04/2015;0,1900
24/04/2015;0,1900
25/04/2015;0,1508
26/04/2015;0,2225
27/04/2015;0,2367
28/04/2015;0,2525
29/04/2015;0,2533
30/04/2015;0,1746
01/05/2015;0,2125
02/05/2015;0,2125
03/05/2015;0,1900
04/05/2015;0,1900
05/05/2015;0,1508
06/05/2015;0,2225
07/05/2015;0,2367
08/05/2015;0,2525
09/05/2015;0,2225
10/05/2015;0,2367
11/05/2015;0,2525
12/05/2015;0,0917
13/05/2015;0,0992
14/05/2015;0,0917
15/05/2015;0,0888
16/05/2015;0,2354
17/05/2015;0,1900
18/05/2015;0,1900
19/05/2015;0,1508
20/05/2015;0,2225
21/05/2015;0,2367
22/05/2015;0,2525
23/05/2015;0,2067
24/05/2015;0,1038
25/05/2015;0,1867
26/05/2015;0,2533
27/05/2015;0,1746
28/05/2015;0,1746
29/05/2015;0,0888
30/05/2015;0,2354
31/05/2015;0,1900
01/06/2015;0,1900
02/06/2015;0,1508
03/06/2015;0,2225
04/06/2015;0,2367
05/06/2015;0,2225
06/06/2015;0,2367
07/06/2015;0,2525
08/06/2015;0,2067
09/06/2015;0,2074
10/06/2015;0,1900
11/06/2015;0,1900
12/06/2015;0,1508
13/06/2015;0,2225
14/06/2015;0,2367
15/06/2015;0,2225
16/06/2015;0,2367
17/06/2015;0,2533
18/06/2015;0,1746
19/06/2015;0,1746
20/06/2015;0,0888
21/06/2015;0,1867
22/06/2015;0,2533
23/06/2015;0,1746
24/06/2015;0,1746
25/06/2015;0,0888
26/06/2015;0,2354
27/06/2015;0,2533
28/06/2015;0,1746
29/06/2015;0,1746
30/06/2015;0,0888
01/07/2015;0,2067
02/07/2015;0,1038
03/07/2015;0,1867
04/07/2015;0,2354
05/07/2015;0,1900
06/07/2015;0,1900
07/07/2015;0,1508
08/07/2015;0,2008
09/07/2015;0,2330
10/07/2015;0,2330
11/07/2015;0,2330
12/07/2015;0,2418
13/07/2015;0,2367
14/07/2015;0,2525
15/07/2015;0,2067
16/07/2015;0,2067
17/07/2015;0,2225
18/07/2015;0,2225
19/07/2015;0,2367
20/07/2015;0,2525
21/07/2015;0,2067
22/07/2015;0,1038
23/07/2015;0,1867
24/07/2015;0,2533
